floor_area,number_of_floors,window_to_wall_ratio,wall_thickness,avg_temperature,avg_humidity,solar_radiation,thermal_resistance,estimated_energy_usage,daylight_factor,thermal_load
281.4,2,0.49,0.37,17.1,61,415,0.1,61362.6,2.03,-807.9
186.7,2,0.3,0.45,-0.4,24,116,5.18,11.8,0.35,-1835.8
198.4,2,0.3,0.42,19.3,43,138,0.08,55437.2,0.41,-137.8
154.1,2,0.15,0.42,-7,72,484,6.22,173.5,0.73,-1572.7
123.8,2,0.3,0.37,23,67,937,3.24,1051.8,2.81,251.1
277,1,0.32,0.45,29.5,40,510,3.13,3080.8,1.63,1807.8
187.2,3,0.25,0.26,-7.6,31,282,3.7,416.5,0.7,-3255
223.1,2,0.49,0.21,11.3,41,303,3.46,931.5,1.48,-1269.4
278.7,2,0.13,0.38,34.8,64,949,3.72,2852.4,1.23,2590.3
80.5,1,0.2,0.22,29.1,50,539,5.73,458,1.08,312.8
70.1,1,0.44,0.37,-8.1,56,786,5.8,107.8,3.46,-827.3
81.5,2,0.31,0.38,14.6,47,673,0.09,15974.3,2.09,-436.1
140.7,1,0.5,0.25,-2.4,74,451,0.02,17139,2.26,-3145.4
217.6,1,0.21,0.32,30.6,49,782,3.02,2498.6,1.64,1610
91.6,2,0.23,0.35,20.5,75,873,6.27,348.2,2.01,17.1
124.4,1,0.35,0.4,34.5,62,832,0.07,73778.3,2.91,1791.2
293.6,2,0.4,0.24,9.1,55,689,3.55,971.5,2.76,-2064.2
230,1,0.26,0.29,-3.9,73,136,5.88,166.4,0.35,-2264.8
102.6,1,0.1,0.3,-2.4,32,741,0.08,2234.1,0.74,-2279.9
200.7,1,0.47,0.23,13.5,62,638,0.01,350430.8,3,-1303.2
57.1,3,0.34,0.27,28.8,60,917,3.42,580.5,3.12,330.6
291.2,2,0.31,0.41,33.4,40,206,0.05,226058.2,0.64,3882.6
212.7,2,0.34,0.5,30.3,56,760,0.07,110422.3,2.58,2175.5
78.5,2,0.17,0.37,21.5,21,385,3.24,575.3,0.65,79.6
278.8,2,0.33,0.35,8.6,40,445,3.02,972.8,1.47,-2218.5
102.6,2,0.26,0.25,29.1,51,117,3.05,1110.6,0.3,648.9
69.9,1,0.41,0.24,33.6,34,141,3.68,772.3,0.58,600.8
111.6,2,0.47,0.42,-9.1,59,249,3.65,334.2,1.17,-2062.2
126.3,1,0.26,0.33,-2.3,75,772,3.75,58.2,2.01,-1760.3
60.6,3,0.2,0.28,25.7,23,927,3.03,585.8,1.85,240.8
175,3,0.49,0.38,0.4,79,669,3.05,76.4,3.28,-2383.9
235,1,0.13,0.44,23,74,434,0.02,293247.2,0.56,703.6
89,3,0.42,0.27,32.6,76,988,5.44,664.9,4.15,511.4
273.4,3,0.12,0.35,12.3,52,420,0.05,73726.1,0.5,-2094.7
